layer,beda_1_komponen,beda_2_komponen_tipe_sama,beda_tipe_kombinasi
0,,,
1,0.044623746028676047,-0.08676461925047964,-0.22427540392722878
2,0.022673975453468498,-0.0783225672725203,-0.19655031049877822
3,0.03608098700862528,-0.09590843763737308,-0.19341041568536652
4,0.04125585498177081,-0.04509214317987644,-0.21209271802117496
5,0.012991487827436475,-0.053708603943625984,-0.1339189249914063
6,0.012920701109003535,-0.057824106847455904,-0.11003669172265565
7,0.027497853232518004,-0.0398558158159819,-0.06882817276026294
8,0.0186965071701163,-0.044211586753069174,-0.05886487173759196
9,0.05916808187849557,-0.004668658043615922,-0.008167744634894095
10,0.10004103678854037,0.07202858123762512,0.012474352816998881
11,0.08534242975186704,0.053605665863244445,-0.021773541415065385
12,0.13330382725532514,0.0987580857730038,-0.015453987239250969
13,0.1366005653880119,0.09919373067084918,-0.01963430818248482
14,0.1322586269767995,0.07580315634473636,-0.05970896954274769
15,0.163099742066538,0.12112400913798936,-0.07601049223617765
16,0.17156265512898897,0.15056170067694177,-0.08371898853797424
17,0.17438480675944193,0.16724782931069337,-0.10737361431296032
18,0.16592481987052896,0.16045835257100574,-0.10637041276157151
19,0.15163774541199426,0.15397751677754729,-0.11114693628042777
20,0.13688284255426875,0.13618575298459498,-0.11674660487414837
21,0.1460599644504011,0.1464004884731535,-0.10508614901540307
22,0.14527051012072414,0.1433592501682506,-0.11191531483373131
23,0.1434274439918157,0.13948779327453348,-0.11322877393180597
24,0.14137191070143995,0.13953559905564195,-0.10867688983642655
25,0.13950431879105205,0.1349408756213855,-0.11461639703984787
26,0.13220503066437447,0.12533826758485828,-0.1222164845169225
27,0.12434739139446702,0.1154046805751246,-0.12671908950633612
28,0.1014004413719107,0.07886125041450792,-0.14239841589667265
29,0.08832409308871507,0.060358935145387774,-0.1464030916997166
30,0.06887380490804172,0.023590852708465834,-0.1508507462912078
31,0.07083862404832449,0.02578815262482206,-0.15450474014391266
32,0.05789893732832393,-0.0072627178634498395,-0.1566022918251047
