n,repeat,cell,qkey,method,wd
5,0,White | Protestant,DNATEST_W49,probe_plain,0.1407292480210205
5,0,White | Protestant,DNATEST_W49,probe_L_group,0.034892772252974935
5,0,White | Protestant,DNATEST_W49,shrinkage,0.00483490224249522
5,0,White | Protestant,DNATEST_W50,probe_plain,0.11799475315726979
5,0,White | Protestant,DNATEST_W50,probe_L_group,0.05762726711672564
5,0,White | Protestant,DNATEST_W50,shrinkage,0.08056530895737504
5,0,White | Protestant,ECONFAIR_W92,probe_plain,0.3721339375445437
5,0,White | Protestant,ECONFAIR_W92,probe_L_group,0.3722917304018042
5,0,White | Protestant,ECONFAIR_W92,shrinkage,0.0991688260548188
5,0,White | Protestant,ENG_W50,probe_plain,0.07512697714616377
5,0,White | Protestant,ENG_W50,probe_L_group,0.7631532640827174
5,0,White | Protestant,ENG_W50,shrinkage,0.02368116452987014
5,0,White | Protestant,FACE4a_W49,probe_plain,0.05040020457208949
5,0,White | Protestant,FACE4a_W49,probe_L_group,0.1359072621781534
5,0,White | Protestant,FACE4a_W49,shrinkage,0.06754811581109799
5,0,White | Protestant,FACE4b_W49,probe_plain,0.3910323778540248
5,0,White | Protestant,FACE4b_W49,probe_L_group,0.5377908404528569
5,0,White | Protestant,FACE4b_W49,shrinkage,0.08199250227794208
5,0,White | Protestant,FACE4c_W49,probe_plain,0.11498210538124831
5,0,White | Protestant,FACE4c_W49,probe_L_group,0.7816688736178321
5,0,White | Protestant,FACE4c_W49,shrinkage,0.013343955034298166
5,0,White | Protestant,FACE4d_W49,probe_plain,0.5271616837147786
5,0,White | Protestant,FACE4d_W49,probe_L_group,0.3859907290971619
5,0,White | Protestant,FACE4d_W49,shrinkage,0.005894388058302447
5,0,White | Protestant,FAMSURV18A_W50,probe_plain,0.20517232219196024
5,0,White | Protestant,FAMSURV18A_W50,probe_L_group,0.20601532305581705
5,0,White | Protestant,FAMSURV18A_W50,shrinkage,0.1574648686518737
5,0,White | Protestant,FAMSURV18B_W50,probe_plain,0.28149252753512766
5,0,White | Protestant,FAMSURV18B_W50,probe_L_group,0.698476694586236
5,0,White | Protestant,FAMSURV18B_W50,shrinkage,0.052978933662491845
5,0,White | Protestant,FAMSURV20_W50,probe_plain,0.5154119091707764
5,0,White | Protestant,FAMSURV20_W50,probe_L_group,0.5169934075165122
5,0,White | Protestant,FAMSURV20_W50,shrinkage,0.05936018457531522
5,0,White | Protestant,FAMSURV21_W50,probe_plain,0.1848989514081805
5,0,White | Protestant,FAMSURV21_W50,probe_L_group,0.807067575057757
5,0,White | Protestant,FAMSURV21_W50,shrinkage,0.11374223230829475
