attr_type,condition,n,ceiling_full_swap,mean_shift_ke_realB,persen_positif,mean_shift_ke_predB,p_wilcoxon_vs_random
AGExPOLPARTY,patch_L11_all32,240,0.0164550600181067,0.00670118100767869,0.5916666666666667,0.012478614942102584,0.002674011588702193
AGExPOLPARTY,patch_L11H16,240,0.0164550600181067,-0.00012286077272593023,0.38333333333333336,0.0005852235914251061,0.8048159649621227
AGExPOLPARTY,patch_L11L18_all,240,0.0164550600181067,0.007060647408019494,0.5916666666666667,0.012554152403306549,0.0009130988590915102
AGExPOLPARTY,patch_L11_all32_x5,240,0.0164550600181067,-0.0036196501696704807,0.49166666666666664,-0.009209952668432072,0.5179944825472905
AGExPOLPARTY,patch_randhead,240,0.0164550600181067,-0.00015304234651951134,0.31666666666666665,-0.00013563480934324952,
AGExPOLPARTY,self_patch,60,0.0164550600181067,-6.373729712353948e-05,0.35,-0.000431325319411241,
RELIGxPOLPARTY,patch_L11_all32,240,0.0019775450670596407,0.0033899946465738434,0.55,0.003299441534024118,0.15939138827129629
RELIGxPOLPARTY,patch_L11H16,240,0.0019775450670596407,-0.00042305554553142394,0.3625,-9.805507574633098e-05,0.18354355436857395
RELIGxPOLPARTY,patch_L11L18_all,240,0.0019775450670596407,0.003186237725018811,0.5666666666666667,0.0023774111819025983,0.20303676796230719
RELIGxPOLPARTY,patch_L11_all32_x5,240,0.0019775450670596407,-0.002614084902112642,0.49166666666666664,-0.0047341705614504,0.657740948430809
RELIGxPOLPARTY,patch_randhead,240,0.0019775450670596407,-1.4548456704563511e-05,0.35833333333333334,-0.00011733716372618573,
RELIGxPOLPARTY,self_patch,60,0.0019775450670596407,-8.054163006817698e-05,0.2833333333333333,-0.0002850573437040732,
RACExRELIG,patch_L11_all32,240,0.0026021135223672606,0.0017182644320697488,0.525,-0.0018686807423493078,0.30908149531374385
RACExRELIG,patch_L11H16,240,0.0026021135223672606,-0.0005206985272398697,0.30416666666666664,-0.0002233447094436616,1.5978091402790644e-06
RACExRELIG,patch_L11L18_all,240,0.0026021135223672606,0.001646188231687644,0.5375,-0.0018087876205347493,0.2557077233203381
RACExRELIG,patch_L11_all32_x5,240,0.0026021135223672606,-0.003925073764713933,0.5,-0.02817168458078869,0.738637665429079
RACExRELIG,patch_randhead,240,0.0026021135223672606,0.00023916965304879265,0.4,-0.00011431556667767083,
RACExRELIG,self_patch,60,0.0026021135223672606,0.00029502860312488794,0.38333333333333336,0.00032487159507911393,
