attr_type,pair,qkey,wd_A_to_realA,wd_A_to_realB,wd_B_to_realB,wd_predA_predB,real_wd_AB,condition,wd_patch_to_realB,wd_patch_to_realA,wd_patch_to_predB,shift_to_realB,shift_to_predB
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,0.3462063208046198,0.939815508180618,0.9134955688099247,0.026319939370693296,1.027713391152973,patch_L11_all32,0.9418800220608622,0.34827084363568817,0.02838445325093747,-0.002064513880244201,-0.002064513880244173
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,0.3462063208046198,0.939815508180618,0.9134955688099247,0.026319939370693296,1.027713391152973,patch_L11H16,0.9435479508468201,0.34604441530640573,0.03005238203689542,-0.003732442666202096,-0.0037324426662021237
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,0.3462063208046198,0.939815508180618,0.9134955688099247,0.026319939370693296,1.027713391152973,patch_L11L18_all,0.9418800220608622,0.34827084363568817,0.02838445325093747,-0.002064513880244201,-0.002064513880244173
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,0.3462063208046198,0.939815508180618,0.9134955688099247,0.026319939370693296,1.027713391152973,patch_L11_all32_x5,0.9418800220608622,0.34827084363568817,0.02838445325093747,-0.002064513880244201,-0.002064513880244173
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,0.3462063208046198,0.939815508180618,0.9134955688099247,0.026319939370693296,1.027713391152973,patch_randhead,0.939815508180618,0.3462063208046198,0.026319939370693296,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,0.3462063208046198,0.939815508180618,0.9134955688099247,0.026319939370693296,1.027713391152973,self_patch,0.9422637570631957,0.3470353183565532,0.028768188253270988,-0.002448248882577664,-0.0024482488825776916
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV29b_W43,0.2621377091978353,0.39914896323501786,0.432132538967347,0.03298357573232913,0.6340575750819004,patch_L11_all32,0.3945065609231099,0.2601762399011561,0.03762597804423712,0.004642402311907989,-0.004642402311907989
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV29b_W43,0.2621377091978353,0.39914896323501786,0.432132538967347,0.03298357573232913,0.6340575750819004,patch_L11H16,0.40127022684950653,0.26216567997317375,0.03086231211784049,-0.0021212636144886665,0.0021212636144886388
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV29b_W43,0.2621377091978353,0.39914896323501786,0.432132538967347,0.03298357573232913,0.6340575750819004,patch_L11L18_all,0.39496485184139074,0.25821700392312447,0.03716768712595622,0.004184111393627121,-0.0041841113936270935
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV29b_W43,0.2621377091978353,0.39914896323501786,0.432132538967347,0.03298357573232913,0.6340575750819004,patch_L11_all32_x5,0.3934588207226964,0.2661863099907201,0.0386737182446506,0.005690142512321472,-0.005690142512321472
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV29b_W43,0.2621377091978353,0.39914896323501786,0.432132538967347,0.03298357573232913,0.6340575750819004,patch_randhead,0.4004937237627818,0.2601138182288062,0.031638815204565185,-0.001344760527763944,0.001344760527763944
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV29b_W43,0.2621377091978353,0.39914896323501786,0.432132538967347,0.03298357573232913,0.6340575750819004,self_patch,0.3979329785804492,0.2620538308870862,0.03419956038689781,0.0012159846545686803,-0.0012159846545686803
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV5g_W43,0.3812834211155029,0.6047425104981299,0.6103433791699723,0.017619514545235693,0.5861842751686801,patch_L11_all32,0.6000990096631363,0.3800537601705498,0.022770076990127563,0.004643500834993541,-0.005150562444891871
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV5g_W43,0.3812834211155029,0.6047425104981299,0.6103433791699723,0.017619514545235693,0.5861842751686801,patch_L11H16,0.6047425104981299,0.3812834211155029,0.017619514545235693,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV5g_W43,0.3812834211155029,0.6047425104981299,0.6103433791699723,0.017619514545235693,0.5861842751686801,patch_L11L18_all,0.6009589577559256,0.38075414900890786,0.022569406044851248,0.0037835527422043214,-0.004949891499615555
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV5g_W43,0.3812834211155029,0.6047425104981299,0.6103433791699723,0.017619514545235693,0.5861842751686801,patch_L11_all32_x5,0.5957292407888154,0.3839168051557435,0.028410601858594065,0.009013269709314486,-0.010791087313358372
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV5g_W43,0.3812834211155029,0.6047425104981299,0.6103433791699723,0.017619514545235693,0.5861842751686801,patch_randhead,0.6047425104981299,0.3812834211155029,0.017619514545235693,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV5g_W43,0.3812834211155029,0.6047425104981299,0.6103433791699723,0.017619514545235693,0.5861842751686801,self_patch,0.6048387859168366,0.3800426886077828,0.017044052481651306,-9.627541870671497e-05,0.0005754620635843866
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47e_W43,0.45805172730283716,0.36408930694833797,0.37316528982584574,0.025649929995202436,0.5731131932851242,patch_L11_all32,0.3659687735055109,0.4542698940472099,0.02816236679159173,-0.0018794665571729152,-0.0025124367963892946
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47e_W43,0.45805172730283716,0.36408930694833797,0.37316528982584574,0.025649929995202436,0.5731131932851242,patch_L11H16,0.36417249865000345,0.4602719756883068,0.02453160285949707,-8.319170166548595e-05,0.001118327135705366
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47e_W43,0.45805172730283716,0.36408930694833797,0.37316528982584574,0.025649929995202436,0.5731131932851242,patch_L11L18_all,0.3658245909111831,0.45382896512160037,0.02680062585626869,-0.0017352839628451133,-0.0011506958610662532
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47e_W43,0.45805172730283716,0.36408930694833797,0.37316528982584574,0.025649929995202436,0.5731131932851242,patch_L11_all32_x5,0.36422602362101175,0.45847829311308097,0.027034103870391846,-0.00013671667267378673,-0.0013841738751894095
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47e_W43,0.45805172730283716,0.36408930694833797,0.37316528982584574,0.025649929995202436,0.5731131932851242,patch_randhead,0.36417249865000345,0.4602719756883068,0.02453160285949707,-8.319170166548595e-05,0.001118327135705366
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47e_W43,0.45805172730283716,0.36408930694833797,0.37316528982584574,0.025649929995202436,0.5731131932851242,self_patch,0.3623141445678884,0.45825044117760766,0.028133547946272264,0.0017751623804495575,-0.0024836179510698275
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV5e_W43,0.555708978158566,0.5518935110876024,0.554716969985056,0.010771362378528826,0.5539582151569082,patch_L11_all32,0.5500433508890362,0.5568214067861392,0.013698108432776857,0.0018501601985662086,-0.0029267460542480306
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV5e_W43,0.555708978158566,0.5518935110876024,0.554716969985056,0.010771362378528826,0.5539582151569082,patch_L11H16,0.5535831704152436,0.555871730245872,0.00943610086196811,-0.001689659327641202,0.0013352615165607151
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV5e_W43,0.555708978158566,0.5518935110876024,0.554716969985056,0.010771362378528826,0.5539582151569082,patch_L11L18_all,0.5500433508890362,0.5568214067861392,0.013698108432776857,0.0018501601985662086,-0.0029267460542480306
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV5e_W43,0.555708978158566,0.5518935110876024,0.554716969985056,0.010771362378528826,0.5539582151569082,patch_L11_all32_x5,0.5413573896527674,0.5614032604652321,0.02634011929080582,0.010536121434835066,-0.015568756912276993
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV5e_W43,0.555708978158566,0.5518935110876024,0.554716969985056,0.010771362378528826,0.5539582151569082,patch_randhead,0.5537578011649537,0.557558397007591,0.01114072317253878,-0.0018642900773512272,-0.00036936079400995414
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV5e_W43,0.555708978158566,0.5518935110876024,0.554716969985056,0.010771362378528826,0.5539582151569082,self_patch,0.5526073971032425,0.5564392547947357,0.011482521592105388,-0.0007138860156400417,-0.0007111592135765621
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV13_W43,0.5057358432476938,0.2411345906695641,0.2724505688267318,0.03131597815716769,0.5310785894207993,patch_L11_all32,0.238850445846311,0.5038394428253153,0.03360012298042081,0.0022841448232531203,-0.0022841448232531203
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV13_W43,0.5057358432476938,0.2411345906695641,0.2724505688267318,0.03131597815716769,0.5310785894207993,patch_L11H16,0.24420803479656022,0.5036133378194876,0.028242534030171573,-0.0030734441269961166,0.0030734441269961166
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV13_W43,0.5057358432476938,0.2411345906695641,0.2724505688267318,0.03131597815716769,0.5310785894207993,patch_L11L18_all,0.238850445846311,0.5038394428253153,0.03360012298042081,0.0022841448232531203,-0.0022841448232531203
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV13_W43,0.5057358432476938,0.2411345906695641,0.2724505688267318,0.03131597815716769,0.5310785894207993,patch_L11_all32_x5,0.24686595491870683,0.4978765993761129,0.025584613908024967,-0.005731364249142723,0.005731364249142723
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV13_W43,0.5057358432476938,0.2411345906695641,0.2724505688267318,0.03131597815716769,0.5310785894207993,patch_randhead,0.2411345906695641,0.5057358432476938,0.03131597815716769,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV13_W43,0.5057358432476938,0.2411345906695641,0.2724505688267318,0.03131597815716769,0.5310785894207993,self_patch,0.2411345906695641,0.5057358432476938,0.03131597815716769,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV5h_W43,0.42903125139563714,0.457474974391459,0.45571011161283337,0.006640127872528573,0.5274300837372751,patch_L11_all32,0.4526763038928663,0.4268473995408624,0.009708121175513784,0.0047986704985927275,-0.0030679933029852113
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV5h_W43,0.42903125139563714,0.457474974391459,0.45571011161283337,0.006640127872528573,0.5274300837372751,patch_L11H16,0.457474974391459,0.42903125139563714,0.006640127872528573,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV5h_W43,0.42903125139563714,0.457474974391459,0.45571011161283337,0.006640127872528573,0.5274300837372751,patch_L11L18_all,0.4542541454609983,0.42549464461658554,0.007726685222126606,0.0032208289304607174,-0.001086557349598033
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV5h_W43,0.42903125139563714,0.457474974391459,0.45571011161283337,0.006640127872528573,0.5274300837372751,patch_L11_all32_x5,0.4556215298819398,0.42447547396096685,0.006777401586054221,0.0018534445095191865,-0.00013727371352564854
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV5h_W43,0.42903125139563714,0.457474974391459,0.45571011161283337,0.006640127872528573,0.5274300837372751,patch_randhead,0.4572067441993016,0.4294731360884019,0.007082012565293366,0.00026823019215743704,-0.0004418846927647935
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV5h_W43,0.42903125139563714,0.457474974391459,0.45571011161283337,0.006640127872528573,0.5274300837372751,self_patch,0.4572067441993016,0.4294731360884019,0.007082012565293366,0.00026823019215743704,-0.0004418846927647935
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV48_W43,0.6301272968066985,0.23375470017634759,0.23638691745890839,0.005711797356937609,0.4988291131859016,patch_L11_all32,0.23815860564329505,0.6378950356872091,0.008721881937225784,-0.004403905466947466,-0.003010084580288175
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV48_W43,0.6301272968066985,0.23375470017634759,0.23638691745890839,0.005711797356937609,0.4988291131859016,patch_L11H16,0.23375470017634759,0.6301272968066985,0.005711797356937609,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV48_W43,0.6301272968066985,0.23375470017634759,0.23638691745890839,0.005711797356937609,0.4988291131859016,patch_L11L18_all,0.2373936437057116,0.6372379570568582,0.008064803306874868,-0.0036389435293640027,-0.002353005949937259
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV48_W43,0.6301272968066985,0.23375470017634759,0.23638691745890839,0.005711797356937609,0.4988291131859016,patch_L11_all32_x5,0.22957721380440776,0.6327331628793156,0.017325129068844425,0.00417748637193982,-0.011613331711906816
