type,n_cells,gr_L11,gr_L11_se,gr_L1,gr_L1_se,gr_L11H16,gr_L11H16_se,gr_mouth,gr_mouth_se
AGExPOLPARTY,18,0.020619581266813333,0.006037979987254227,0.021513408985313568,0.0064163493425151066,0.07309776866552417,0.005967260829962375,0.08667192125926584,0.005735517765145304
EDUCATIONxINCOME,33,0.04139282417742405,0.004288406879840308,0.0070441112903372495,0.003910095975280614,0.001834933569461099,0.003940700432934133,0.05818147213115817,0.004905365996731504
RELIGxPOLPARTY,30,0.06485606251852587,0.005164020710114151,-0.002789417609932245,0.005056455816316502,0.00811536978636322,0.00504970791862265,0.07623205307389583,0.005134104180736819
RACExPOLPARTY,28,0.06919480203612832,0.00541727124155605,-0.055409386460563974,0.005464632263715928,0.059642949337569584,0.005378694655701599,0.1079696059144353,0.005240541935743732
RACExPOLIDEOLOGY,30,0.034770928705702184,0.005279661986617018,-0.012884425129452086,0.006031277966193371,-0.04542718794397497,0.005242213863848687,0.10056340503203755,0.004852474234381327
RACExRELIG,29,0.03926779195379687,0.004871821241820773,-0.03217096603005502,0.004486872161410958,0.07283606484224525,0.004910151314375751,0.08469391972096157,0.0052875435855162115
