type,n_rows,n_cells,n_questions,wd_mouth,wd_L11,wd_L1,wd_L11H16,wd_qmean,win_vs_mouth,win_vs_qmean,alpha_L11_median,grouprank_mouth,grouprank_L11,grouprank_L1,grouprank_L11H16,grouprank_qmean,grouprank_n_questions
AGExPOLPARTY,4051,18,250,0.30000833035783164,0.21057140067049956,0.2791098819625236,0.2084840492117174,0.1333096385040702,0.6768699086645272,0.28585534435941745,1.0,0.09318370357943619,-0.10467615997714154,-0.47643753761392904,-0.08340951587623738,-0.992773624458915,250
EDUCATIONxINCOME,7309,33,250,0.3243107468860229,0.2340232011665777,0.3074744002067028,0.22774204704861478,0.13503970897990666,0.6658913668080448,0.25242851279244766,1.0,0.058810655794061584,-0.04216330472394208,-0.4040142700776278,-0.07790979288598911,-0.9914072873492861,250
RELIGxPOLPARTY,5904,30,250,0.3211881040394005,0.24077413485275656,0.30786813852678263,0.24428810600821277,0.16936578429385776,0.649390243902439,0.31995257452574527,1.0,0.07949630495093962,-0.06392002834726826,-0.43745561171369957,-0.15859774057974513,-0.9958830540973779,250
RACExPOLPARTY,4995,28,250,0.3301806665707804,0.2538763868919812,0.33024592243343937,0.25927819634925364,0.1861814345948907,0.6576576576576577,0.3291291291291291,1.0,0.11424792261400314,-0.04866223957985329,-0.4684065335263438,-0.15384900740589738,-0.9901335378745102,250
RACExPOLIDEOLOGY,5412,30,250,0.3570781760212357,0.2774685905602435,0.3582221977720403,0.27461596824694073,0.2095412522885677,0.6592756836659276,0.3418329637841833,1.0,0.10600031605911367,-0.0613016338519929,-0.4800904106664659,-0.20503356514579837,-0.9883789232776966,250
RACExRELIG,5724,29,250,0.3516881928499563,0.2750188449306587,0.3523244724908953,0.2609571253290437,0.19687236791189464,0.6537386443046821,0.32966457023060797,10.0,0.08857590670939783,-0.08003595252603096,-0.5393180182592655,-0.0950197076311681,-0.9959651339954301,250
