A,B,t_A,t_B,dt,ci_lo,ci_hi,p_perm2s
RELIGxPOLPARTY@L8,RACExPOLIDEOLOGY@L11,2.577,3.223,-0.646,-3.739,2.184,0.5063
RELIGxPOLPARTY@L11,RACExPOLIDEOLOGY@L11,1.106,3.223,-2.117,-5.61,0.141,0.1206
