attr_type,n_item,n_layer,win_layer,t_win,null_p95,null_mean,p_corrected,mean_shift_win,runner_up,t_runner
EDUCATIONxINCOME,240,32,9,2.4679032940469763,2.828074927340898,1.8816119489580792,0.1425,0.0118203945149745,14,1.9166004219940944
RACExPOLIDEOLOGY,240,32,11,4.548557693846716,2.893046387078781,1.8323045885311662,0.0005,0.007328469930102393,9,3.516924082929951
RACExPOLPARTY,240,32,14,2.401219150624617,2.93603754811766,1.8742785552592172,0.177,0.0026748136502975873,28,2.221803726308946
