attr_type,n_item,n_layer,win_layer,t_win,null_p95,null_mean,p_corrected,mean_shift_win,runner_up,t_runner
RACExRELIG,240,32,1,4.097524297685676,2.9184549256366465,1.8588551534063338,0.0005,0.0009997924147312658,8,3.1943406627146964
RACExPOLIDEOLOGY,240,32,11,4.548557693846716,2.893046387078781,1.8323045885311662,0.0005,0.007328469930102393,9,3.516924082929951
AGExPOLPARTY,240,32,15,3.3102306150580243,2.905328839495261,1.8475265182880694,0.015,0.002019031594711775,11,3.2947129921975042
RELIGxPOLPARTY,240,32,8,2.9435682238367256,2.8642374861233657,1.835952358971237,0.0355,0.001705739599754626,1,1.89054004443624
EDUCATIONxINCOME,240,32,9,2.4679032940469763,2.828074927340898,1.8816119489580792,0.1425,0.0118203945149745,14,1.9166004219940944
RACExPOLPARTY,240,32,14,2.401219150624617,2.93603754811766,1.8742785552592172,0.177,0.0026748136502975873,28,2.221803726308946
