tipe,n_sel,n_soal_rata2_per_sel,n_soal_bersama_min,n_soal_bersama_rata2,n_soal_umum_semua_sel,rho_identity_only,rho_qa_context,rho_qa_shared_q,rho_qa_common_q,rho_qa_nmatched,reliabilitas_rdm_v3
AGExPOLPARTY,18,225.05555555555554,21,201.98039215686273,21,0.6653197164033076,0.7249507458485787,0.3802453995952448,0.39425435245868684,0.17917179486068008,0.9757938724263822
EDUCATIONxINCOME,33,221.4848484848485,15,196.63636363636363,15,0.6686292825341836,0.4582840534258032,0.11588274155493854,0.09926203802171238,0.09051701424079028,
RELIGxPOLPARTY,30,196.8,20,156.1264367816092,20,0.599656382437454,0.6607236524637102,0.2847400498770433,0.22819167271860835,0.33999175099206197,0.9813355790962607
RACExPOLPARTY,22,212.13636363636363,46,181.87445887445887,46,0.5942716953211705,0.7094092564107557,0.16232261198685521,0.1702131491591469,0.5384333529675593,0.989806531890218
RACExPOLIDEOLOGY,24,208.33333333333334,24,173.7173913043478,24,0.467356344801016,0.5321590730725875,0.23979887267559163,0.2396312838001741,0.32592613112981517,0.9816475393535015
RACExRELIG,25,218.92,48,192.21333333333334,48,0.3298507761197346,0.44291292125468057,0.46349892776586404,0.487278801684333,0.29529408585050937,0.9909324808819358
