tipe,n,wd_mulut,wd_mulut_temp,T_median,wd_L11_fullridge,wd_L11,wd_L11H16,wd_qmean
AGExPOLPARTY,4051,0.30000833035783214,0.2978951517121911,1.25,0.23374727646432594,0.2105714006704995,0.2084840492117174,0.1333096385040702
EDUCATIONxINCOME,7309,0.3243107468860232,0.3243107468874634,1.0,0.24465177435215607,0.2340232011665777,0.2277420470486147,0.1350397089799066
RELIGxPOLPARTY,5904,0.32118810403940085,0.3216471574902578,1.0,0.2568562350553739,0.2407741348527565,0.2442881060082127,0.1693657842938577
RACExPOLPARTY,4995,0.3301806665707804,0.32860386063623664,0.8000000000000003,0.2786489108440716,0.2538763868919812,0.2592781963492536,0.1861814345948907
RACExPOLIDEOLOGY,5412,0.35707817602123565,0.3481527109005365,0.7000000000000002,0.3031781131896395,0.2774685905602435,0.2746159682469407,0.2095412522885677
RACExRELIG,5724,0.35168819284995684,0.34061639382851305,0.6000000000000001,0.29779145988426003,0.2750188449306587,0.2609571253290437,0.1968723679118946
