type,n_pair,win_layer,t_win_pair,null_p95_pair,p_maxstat_pair,t_L11_pair,p_L11_pair,t_L1_pair,p_L1_pair,t_L11_vs0,p_L11_vs0,t_win_vs0,p_win_vs0
RACExPOLIDEOLOGY,12,11,3.2230205770608493,3.384976049636368,0.06640625,3.2230205770608493,0.001953125,-0.7362707489657861,0.766357421875,3.237560758047751,0.002197265625,3.237560758047751,0.002197265625
RACExRELIG,12,8,2.9391532427398093,3.3468078382935955,0.122314453125,0.6752207105001079,0.2666015625,2.458533640912099,0.015869140625,0.6914012322927007,0.264892578125,3.0049598978801213,0.000732421875
RELIGxPOLPARTY,12,8,2.5774895385142655,3.244251942814978,0.21044921875,1.1055579940771982,0.150390625,1.4584432835718328,0.0888671875,1.1240459796146938,0.145263671875,2.6217036258095305,0.012451171875
AGExPOLPARTY,12,14,2.374251869058463,3.3942311926316355,0.265625,1.9316636412934283,0.022216796875,0.3352614896161096,0.38623046875,1.9393713873712166,0.0224609375,2.3372686734383366,0.019287109375
RACExPOLPARTY,12,4,1.996881055427729,3.415504676996429,0.524169921875,1.2749651738962928,0.1142578125,1.9654282242286367,0.033447265625,1.1918409628482431,0.1279296875,1.5958564835032694,0.06884765625
EDUCATIONxINCOME,12,15,1.5698402052928881,3.426026371961764,0.822265625,0.7474680673438004,0.234130859375,1.238494935137065,0.123291015625,0.7381120835285645,0.23681640625,1.4937122350676046,0.081787109375
