type,n_cells,head_selected,resid_selected,proj_selected,head_heldout,resid_heldout,proj_heldout,head_median,proj_median
AGExPOLPARTY,18,0.7352807151568761,0.514209990216182,0.5652567246994491,0.5155158953533566,0.38759163952662407,0.416390240306649,0.443456569230563,0.4711059064774235
EDUCATIONxINCOME,33,0.6819383469645499,0.610502939236219,0.6545919442433712,0.5410002583758313,0.5096846260026942,0.4907358145839102,0.497473148714885,0.5710559581531807
RACExPOLIDEOLOGY,24,0.5168607753884791,0.30334555728371454,0.38863886074685017,0.3789607739615588,0.2642487978196658,0.2937769152837431,0.17283001098728612,0.2216284014212126
RACExPOLPARTY,22,0.6507681224322903,0.3578253081251582,0.4347933176269009,0.4748235460191982,0.28190799080979,0.29888748807414484,0.2116642937176803,0.20235985903152326
RACExRELIG,25,0.4864111823464704,0.2675443060478449,0.3402313359037322,0.29452771697463304,0.15894187713196814,0.16612129023655817,0.10447627195857728,0.12275491949910554
RELIGxPOLPARTY,30,0.5996563824374543,0.2606526546898622,0.337585813274397,0.43697737547325777,0.16716558961583242,0.17751145741537513,0.1970371185691981,0.21219671435194665
