type,n_cells,r_survey,r_model_star,r_model_best,ceiling_star,ceiling_best,obs_star,obs_best,pct_ceiling_star,pct_ceiling_best
AGExPOLPARTY,18,0.9934364654952891,0.8233283744119658,0.8685662462752245,0.9043917459916391,0.928905475141669,0.6653197164033076,0.735280715156876,0.7356543437642766,0.7915560138610842
EDUCATIONxINCOME,33,0.9852332687561163,0.9394207876898717,0.9222473068175319,0.9620543713289482,0.9532201889895964,0.6686292825341836,0.6819383469645502,0.6950015534055134,0.7154048506750553
RACExPOLIDEOLOGY,24,0.991555200410953,0.7836933453194638,0.8384031810809397,0.8815186963865095,0.9117691781596325,0.467356344801016,0.5168607753884791,0.5301717895681473,0.5668767795284994
RACExPOLPARTY,22,0.9912433069179695,0.737823945170272,0.8158203365849542,0.8551976656503706,0.8992643928719745,0.5942716953211705,0.6507681224322904,0.6948939633379752,0.7236671746269602
RACExRELIG,25,0.9893291258791763,0.7178405685989103,0.6245438282647585,0.8427221263575384,0.7860530514478065,0.3298507761197346,0.48641118234647046,0.3914110782227048,0.6188019771064625
RELIGxPOLPARTY,30,0.9938403381068524,0.7803803114059896,0.7803803114059896,0.8806664706571151,0.8806664706571151,0.599656382437454,0.599656382437454,0.6809120165435802,0.6809120165435802
