tipe,n,langit,t_L11,p_L11,shift_L11,t_L1,p_L1,shift_L1,t_max,layer_max
AGExPOLPARTY,240,0.016455060018106697,3.2947129921975042,0.0,0.006801831752849472,0.5715382044899733,0.2985,0.00023656836338087727,3.3102306150580243,15
EDUCATIONxINCOME,240,0.019382938743709555,1.1183736888021998,0.13,0.003931627495500684,1.6286510947474728,0.0455,0.00042322332118200484,2.4679032940469763,9
RACExPOLIDEOLOGY,240,0.017625972515166857,4.548557693846716,0.0,0.007328469930102393,-0.8532496003850778,0.8015,-0.00016837347173541794,4.548557693846716,11
RACExPOLPARTY,240,0.00319888353943675,1.6296049206166299,0.0585,0.0025768488780531693,2.090128154596595,0.018,0.00048580625954415286,2.401219150624617,14
RACExRELIG,240,0.002602113522367261,1.4220517146142613,0.0655,0.001649617606789335,4.097524297685676,0.0,0.0009997924147312658,4.097524297685676,1
RELIGxPOLPARTY,240,0.0019775450670596454,1.4731814321132863,0.074,0.003313966711482089,1.89054004443624,0.0295,0.0004965431211864274,2.9435682238367256,8
