attr_type,layer,mean_shift,pct_positive,p_vs_random_ctrl
AGExPOLPARTY,0,-0.0006107838314644488,0.2833333333333333,0.00017233723594094506
AGExPOLPARTY,1,0.00014962591848630147,0.43333333333333335,0.5971555492041147
AGExPOLPARTY,2,1.956046959454711e-05,0.48333333333333334,0.7851435597908374
AGExPOLPARTY,3,-0.0005509890842213866,0.4083333333333333,0.049270362317197475
AGExPOLPARTY,4,-0.0005619222149850412,0.4625,0.12452229580884332
AGExPOLPARTY,5,0.0002699587967258047,0.44583333333333336,0.7469595169111525
AGExPOLPARTY,6,-0.0006920210177810428,0.39166666666666666,0.26251809609855803
AGExPOLPARTY,7,0.0011153368350975453,0.5041666666666667,0.23307513166973737
AGExPOLPARTY,8,0.0012499284838169088,0.5208333333333334,0.018463038778573616
AGExPOLPARTY,9,0.004709257041255546,0.49583333333333335,0.25114751126918755
AGExPOLPARTY,10,0.0005529901173866995,0.5083333333333333,0.49860259728775747
AGExPOLPARTY,11,0.00671488930795491,0.5916666666666667,0.0022943069314045146
AGExPOLPARTY,12,0.001304872507403647,0.475,0.30863436770546215
AGExPOLPARTY,13,8.366470015968436e-05,0.4791666666666667,0.9475545350204416
AGExPOLPARTY,14,0.0022453524677617047,0.5083333333333333,0.012903241553717167
AGExPOLPARTY,15,0.0019320891498172117,0.5666666666666667,0.0015072182666601018
AGExPOLPARTY,16,-0.00021639473986395825,0.4166666666666667,0.44923063385267714
AGExPOLPARTY,17,-0.0019106179326994215,0.4166666666666667,0.16460365436751023
AGExPOLPARTY,18,0.0002979200381279615,0.4791666666666667,0.010640610209008913
AGExPOLPARTY,19,9.486139890657516e-05,0.4166666666666667,0.21753381361336477
AGExPOLPARTY,20,-0.00026042594537440506,0.3958333333333333,0.6854473450734622
AGExPOLPARTY,21,-0.00014652798745428997,0.30833333333333335,0.6276354402355522
AGExPOLPARTY,22,2.0579574194434676e-05,0.3333333333333333,0.34441062326682836
AGExPOLPARTY,23,-4.260594876907495e-05,0.32083333333333336,0.6143969402700451
AGExPOLPARTY,24,1.0324980657695077e-05,0.37916666666666665,0.4658581618307055
AGExPOLPARTY,25,-9.479686461989963e-05,0.3958333333333333,0.6470744211427326
AGExPOLPARTY,26,-7.029015588478789e-05,0.3125,0.8989094217044951
AGExPOLPARTY,27,0.00025704340638852026,0.4166666666666667,0.009379333664222929
AGExPOLPARTY,28,-7.277481565002505e-05,0.36666666666666664,0.7954196169423253
AGExPOLPARTY,29,0.0002535868982418171,0.4583333333333333,0.20218136565767197
AGExPOLPARTY,30,-0.0003111549754824956,0.32083333333333336,0.14685294615613814
AGExPOLPARTY,31,-3.688508137800449e-05,0.2708333333333333,0.5220888008822615
RELIGxPOLPARTY,0,-1.152566203038759e-05,0.44583333333333336,0.9580828812142459
RELIGxPOLPARTY,1,0.0005423331443039004,0.4666666666666667,0.1002440318445406
RELIGxPOLPARTY,2,-0.0006213019039202452,0.49583333333333335,0.7494036767697416
RELIGxPOLPARTY,3,-0.0008600436694316434,0.44583333333333336,0.039656921497116665
RELIGxPOLPARTY,4,0.0006404794223346556,0.5333333333333333,0.07926870654408877
RELIGxPOLPARTY,5,-0.001485879943671745,0.4041666666666667,0.002208429750331691
RELIGxPOLPARTY,6,-0.0002889426110706071,0.525,0.513508269777762
RELIGxPOLPARTY,7,0.0018357289471077512,0.5291666666666667,0.680903073435772
RELIGxPOLPARTY,8,0.0017515296228720995,0.5541666666666667,0.012979476916696908
RELIGxPOLPARTY,9,0.0026680418494590824,0.5083333333333333,0.66312412332548
RELIGxPOLPARTY,10,-0.0017311578635020406,0.42083333333333334,0.1150699464595116
RELIGxPOLPARTY,11,0.003359756734599568,0.5833333333333334,0.19127664618013185
RELIGxPOLPARTY,12,0.0038553044183334767,0.525,0.21465471243678758
RELIGxPOLPARTY,13,-0.0015371794718012325,0.4583333333333333,0.10897716086880939
RELIGxPOLPARTY,14,0.0011925750509329683,0.45416666666666666,0.4213932340350277
RELIGxPOLPARTY,15,-0.0008190754473493804,0.45,0.2883610121663398
RELIGxPOLPARTY,16,-0.00035126468607938417,0.36666666666666664,0.04886993063069019
RELIGxPOLPARTY,17,-0.006809919525465383,0.42083333333333334,0.002533718906889976
RELIGxPOLPARTY,18,-7.26837443160648e-05,0.45416666666666666,0.5930867334014418
RELIGxPOLPARTY,19,-0.00010634818444987676,0.37083333333333335,0.2963863781209499
RELIGxPOLPARTY,20,-0.00047693007809696344,0.37916666666666665,0.02058580850754651
RELIGxPOLPARTY,21,-0.0001710450651886791,0.32916666666666666,0.2397760406693651
RELIGxPOLPARTY,22,-5.260819857462572e-05,0.32083333333333336,0.574536682754952
RELIGxPOLPARTY,23,-2.397147549967176e-05,0.3333333333333333,0.7270266994068826
RELIGxPOLPARTY,24,-0.00010073664138722909,0.3541666666666667,0.4091930414872492
RELIGxPOLPARTY,25,-0.000141111833194707,0.39166666666666666,0.38051032749054603
RELIGxPOLPARTY,26,6.48077765010265e-05,0.35,0.6071763330058584
RELIGxPOLPARTY,27,6.845127250311722e-05,0.375,0.9969897089818309
RELIGxPOLPARTY,28,-6.51997327036559e-05,0.3416666666666667,0.4428907350111083
RELIGxPOLPARTY,29,-0.0005876228183868753,0.4083333333333333,0.014527776870457759
RELIGxPOLPARTY,30,0.00012600145138485496,0.44583333333333336,0.42054877313472594
RELIGxPOLPARTY,31,-0.00010507973449867964,0.25833333333333336,0.32301843826801835
RACExRELIG,0,0.0003366470386799275,0.4375,0.0543886830252722
RACExRELIG,1,0.0010271410480505716,0.55,4.063445764157564e-05
RACExRELIG,2,0.0011701405022149776,0.5416666666666666,0.03630471650316872
RACExRELIG,3,0.0002635339744847763,0.4666666666666667,0.32344919611892353
RACExRELIG,4,0.001016586516544508,0.5125,0.03411024300870225
RACExRELIG,5,-0.001777851274821506,0.39166666666666666,0.0005459725441105704
RACExRELIG,6,-0.00017965972083967875,0.4666666666666667,0.8089763939006032
RACExRELIG,7,0.0030292249140951985,0.5791666666666667,0.00204719517051094
RACExRELIG,8,0.001976281914252848,0.5458333333333333,0.0017913888026974516
RACExRELIG,9,0.0028931902808544503,0.5166666666666667,0.24753912693458124
RACExRELIG,10,0.0025606890921525127,0.5333333333333333,0.0045623311067644464
RACExRELIG,11,0.0016769662401086344,0.5333333333333333,0.20091537461197684
RACExRELIG,12,0.0008242464350028812,0.5125,0.383037016738752
RACExRELIG,13,0.0011675434797971105,0.6,0.003745651414509244
RACExRELIG,14,0.0006089590854324812,0.5125,0.21423341609586066
RACExRELIG,15,-0.0005450861703549369,0.45,0.23840191500503372
RACExRELIG,16,1.026796496322394e-05,0.4,0.6511699414645568
RACExRELIG,17,-0.0006651127505066822,0.3875,0.07043011415689149
RACExRELIG,18,-6.360071655316321e-05,0.4041666666666667,0.6198086247901742
RACExRELIG,19,-0.000201162515924574,0.3416666666666667,0.11701449699018376
RACExRELIG,20,6.634312996915554e-05,0.3625,0.8968608436943758
RACExRELIG,21,3.715596564078047e-05,0.3416666666666667,0.8969134592028483
RACExRELIG,22,7.962621198726975e-05,0.30416666666666664,0.6077218864223186
RACExRELIG,23,2.5126109109895046e-06,0.30833333333333335,0.8879049285476411
RACExRELIG,24,-1.5826154385085076e-05,0.3375,0.6665383321901901
RACExRELIG,25,-0.000136058763159362,0.32083333333333336,0.38902657225772963
RACExRELIG,26,3.7515916007827575e-05,0.3541666666666667,0.9719464913595142
RACExRELIG,27,0.00020698129872705553,0.36666666666666664,0.1972010761437385
RACExRELIG,28,1.8957939180444066e-05,0.32916666666666666,0.9680949972185117
RACExRELIG,29,-7.710840714784823e-05,0.4041666666666667,0.6421487880640087
RACExRELIG,30,-5.4813625143924906e-05,0.38333333333333336,0.3785800144270436
RACExRELIG,31,-2.507442712317981e-05,0.22916666666666666,0.6806759303803958
