attr_type,pair,qkey,wd_A_to_realA,wd_A_to_realB,wd_B_to_realB,wd_predA_predB,real_wd_AB,condition,donor_cells,wd_patch_to_realB,wd_patch_to_realA,wd_patch_to_predA,wd_patch_to_predB,shift_ke_realB,shift_ke_predB,gerak_total
RACExRELIG,RACExRELIG :: Black | Nothing in particular -> RACExRELIG :: Other | Nothing in particular,IDIMPORT_W43,1.1764878996526404,0.2169749487498274,0.223929401587065,0.05251792139452882,1.2101332956952162,true,,0.2190971487990019,1.1754446962039184,0.0021222000491745163,0.05201546770311194,-0.0021222000491745163,0.000502453691416882,0.0021222000491745163
RACExRELIG,RACExRELIG :: Black | Nothing in particular -> RACExRELIG :: Other | Nothing in particular,IDIMPORT_W43,1.1764878996526404,0.2169749487498274,0.223929401587065,0.05251792139452882,1.2101332956952162,othercell_1,RACExRELIG :: White | Jewish|RACExRELIG :: Refused | Protestant,0.21828828721250648,1.1766553693411952,0.0019137498585383994,0.05175933838674754,-0.0013133384626790867,0.0007585830077812827,0.0019137498585383994
RACExRELIG,RACExRELIG :: Black | Nothing in particular -> RACExRELIG :: Other | Nothing in particular,IDIMPORT_W43,1.1764878996526404,0.2169749487498274,0.223929401587065,0.05251792139452882,1.2101332956952162,othercell_2,RACExRELIG :: White | Jewish|RACExRELIG :: Refused | Protestant,0.2169749487498274,1.1764878996526404,0.0,0.05251792139452882,0.0,0.0,0.0
RACExRELIG,RACExRELIG :: Black | Nothing in particular -> RACExRELIG :: Other | Nothing in particular,IDIMPORT_W43,1.1764878996526404,0.2169749487498274,0.223929401587065,0.05251792139452882,1.2101332956952162,dimshuffle,,0.21523248471857098,1.1836502605040489,0.007162360851408395,0.04957839562346408,0.0017424640312564132,0.0029395257710647382,0.007162360851408395
RACExRELIG,RACExRELIG :: Black | Nothing in particular -> RACExRELIG :: Other | Nothing in particular,RACESURV17_W43,0.7254717906182193,0.2241441070266918,0.16363065858371378,0.06051344844297801,0.9496158976449112,true,,0.2241441070266918,0.7254717906182193,0.0,0.06051344844297801,0.0,0.0,0.0
RACExRELIG,RACExRELIG :: Black | Nothing in particular -> RACExRELIG :: Other | Nothing in particular,RACESURV17_W43,0.7254717906182193,0.2241441070266918,0.16363065858371378,0.06051344844297801,0.9496158976449112,othercell_1,RACExRELIG :: White | Jewish|RACExRELIG :: Refused | Protestant,0.22790815339268122,0.7217077442522298,0.0037640463659894263,0.06427749480896744,-0.0037640463659894263,-0.0037640463659894263,0.0037640463659894263
RACExRELIG,RACExRELIG :: Black | Nothing in particular -> RACExRELIG :: Other | Nothing in particular,RACESURV17_W43,0.7254717906182193,0.2241441070266918,0.16363065858371378,0.06051344844297801,0.9496158976449112,othercell_2,RACExRELIG :: White | Jewish|RACExRELIG :: Refused | Protestant,0.2241441070266918,0.7254717906182193,0.0,0.06051344844297801,0.0,0.0,0.0
RACExRELIG,RACExRELIG :: Black | Nothing in particular -> RACExRELIG :: Other | Nothing in particular,RACESURV17_W43,0.7254717906182193,0.2241441070266918,0.16363065858371378,0.06051344844297801,0.9496158976449112,dimshuffle,,0.21108167857789845,0.7385342190670127,0.01306242844879335,0.04745101999418466,0.01306242844879335,0.01306242844879335,0.01306242844879335
RACExRELIG,RACExRELIG :: Black | Nothing in particular -> RACExRELIG :: Other | Nothing in particular,RACESURV48_W43,0.3320077253932686,1.1292329603072153,1.0581730540073087,0.07105990629990655,0.7972252349139466,true,,1.127738464151027,0.3305132292370805,0.0014944961561881298,0.06956541014371842,0.0014944961561882408,0.0014944961561881298,0.0014944961561881298
RACExRELIG,RACExRELIG :: Black | Nothing in particular -> RACExRELIG :: Other | Nothing in particular,RACESURV48_W43,0.3320077253932686,1.1292329603072153,1.0581730540073087,0.07105990629990655,0.7972252349139466,othercell_1,RACExRELIG :: White | Jewish|RACExRELIG :: Refused | Protestant,1.1312694964646266,0.3340442615506799,0.002036536157411284,0.07309644245731783,-0.002036536157411284,-0.002036536157411284,0.002036536157411284
RACExRELIG,RACExRELIG :: Black | Nothing in particular -> RACExRELIG :: Other | Nothing in particular,RACESURV48_W43,0.3320077253932686,1.1292329603072153,1.0581730540073087,0.07105990629990655,0.7972252349139466,othercell_2,RACExRELIG :: White | Jewish|RACExRELIG :: Refused | Protestant,1.1297858863358259,0.3325606514218792,0.0006630865658958651,0.07161283232851712,-0.0005529260286105675,-0.0005529260286105675,0.0006630865658958651
RACExRELIG,RACExRELIG :: Black | Nothing in particular -> RACExRELIG :: Other | Nothing in particular,RACESURV48_W43,0.3320077253932686,1.1292329603072153,1.0581730540073087,0.07105990629990655,0.7972252349139466,dimshuffle,,1.1207103682068644,0.3234851332929176,0.008522592100351,0.06253731419955555,0.00852259210035089,0.008522592100351,0.008522592100351
RACExRELIG,RACExRELIG :: Black | Nothing in particular -> RACExRELIG :: Other | Nothing in particular,RACESURV29b_W43,0.8941613207850426,0.23796467687858752,0.30239912976346345,0.06443445288487593,0.6561966439064552,true,,0.23708566514957188,0.893282309056027,0.0019528089107770097,0.06531346461389156,0.0008790117290156385,-0.0008790117290156385,0.0019528089107770097
