tipe,kontras,n_pair,mean_diff,t,p_2s,frac_true_lebih_merusak,mean_gerak_diff,t_gerak,p_gerak_2s
AGExPOLPARTY,true - othercell_1,12,1.4057843758720246e-05,0.07760409513074312,0.9375,0.5833333333333334,-0.0003316158453297374,-1.0511530238720475,0.30908203125
AGExPOLPARTY,true - othercell_2,12,0.000139239499075731,0.48961746983725235,0.62451171875,0.5833333333333334,-0.00018378295148255156,-0.6465488979524269,0.546875
AGExPOLPARTY,true - dimshuffle,12,-0.0007860821263922956,-1.425066558790495,0.17919921875,0.8333333333333334,-0.004152381458653089,-8.50305131721266,0.00048828125
RACExRELIG,true - othercell_1,12,-0.0002542375464787884,-1.2983610432123167,0.2314453125,0.6666666666666666,0.00028433052478369215,1.114023486228883,0.32373046875
RACExRELIG,true - othercell_2,12,-0.0002458168616576118,-2.397271298222687,0.03955078125,0.75,0.0002548143258965247,1.4058470235611367,0.19482421875
RACExRELIG,true - dimshuffle,12,-0.0003080102202590648,-0.7228698501801096,0.484375,0.5833333333333334,-0.0023794598704779315,-5.430805258833331,0.00048828125
