tipe,kondisi,n_pair,mean_shift,t_vs_0,p_vs_0_2s,frac_neg,gerak_total
AGExPOLPARTY,true,12,0.00025961908060818836,1.0743370261834784,0.33349609375,0.5,0.0025976728771790205
AGExPOLPARTY,othercell_1,12,0.00024556123684946814,0.8803440925649512,0.46484375,0.5,0.002929288722508758
AGExPOLPARTY,othercell_2,12,0.00012037958153245738,0.45728374091389956,0.65380859375,0.5,0.002781455828661572
AGExPOLPARTY,dimshuffle,12,0.001045701207000484,2.0954360145929507,0.06298828125,0.25,0.006750054335832108
RACExRELIG,true,12,-0.00038122044793293563,-2.413817325618024,0.0048828125,0.75,0.0022386064545276744
RACExRELIG,othercell_1,12,-0.00012698290145414742,-0.8716127125060981,0.412109375,0.4166666666666667,0.001954275929743982
RACExRELIG,othercell_2,12,-0.00013540358627532392,-0.6507101390763999,0.54638671875,0.5,0.0019837921286311494
RACExRELIG,dimshuffle,12,-7.321022767387086e-05,-0.14391970505888232,0.89111328125,0.5833333333333334,0.004618066325005605
