attr_type,component,layer,head,std_across_templates,T0,T1,T2,T3,Tmean
AGExPOLPARTY,head,11,19,0.0455733723397964,0.6089924007880664,0.7027059627678822,0.6033700561564338,0.6361525471432591,0.735280715156876
EDUCATIONxINCOME,head,14,1,0.018129599951836158,0.666029685397817,0.6529430158969974,0.6272346035193105,0.6321238610806125,0.6819367165012346
RACExPOLIDEOLOGY,head,8,21,0.11915473094866856,0.5115272228516906,0.543957937678711,0.2802797950632664,0.48595640286886693,0.49566392278417815
RACExPOLPARTY,head,23,13,0.13425295638403392,0.3525549129687981,0.5634618895074182,0.3302170381966647,0.5825184482542163,0.6138043954820921
RACExRELIG,head,28,0,0.1287563775602094,0.1568779990176446,0.44626157101295955,0.22393093285978766,0.3472877545622851,0.4510788175406557
RELIGxPOLPARTY,head,11,16,0.10152432533020755,0.5624280363940128,0.616693224013284,0.4296759031806127,0.4076467663939983,0.599656382437454
