component,layer,head,template,attr_type,rho
head,5,24,Tmean,RACExRELIG,0.40083537990705403
head,3,0,Tmean,RACExRELIG,0.39532304379038047
head,18,14,Tmean,RACExRELIG,0.3930946083802471
head,6,23,Tmean,RACExRELIG,0.3858829863603733
head,18,4,Tmean,RACExRELIG,0.3847054822987116
head,3,17,Tmean,RACExRELIG,0.3786860996712888
head,20,6,Tmean,RACExRELIG,0.3777866777496505
head,24,23,Tmean,RACExRELIG,0.3704753088752031
head,27,29,Tmean,RACExRELIG,0.3626094930767324
head,19,18,Tmean,RACExRELIG,0.36225941738769035
head,26,24,Tmean,RACExRELIG,0.3619390184002721
head,24,21,Tmean,RACExRELIG,0.359887973703102
head,23,30,Tmean,RACExRELIG,0.3578403294668833
head,8,12,Tmean,RACExRELIG,0.3574825254089999
head,11,16,Tmean,RELIGxPOLPARTY,0.599656382437454
head,20,14,Tmean,RELIGxPOLPARTY,0.5914276383982785
head,31,7,Tmean,RELIGxPOLPARTY,0.4809189473668864
head,12,28,Tmean,RELIGxPOLPARTY,0.4744803785887644
head,23,15,Tmean,RELIGxPOLPARTY,0.47340703300740444
head,18,14,Tmean,RELIGxPOLPARTY,0.47160817975994884
head,21,2,Tmean,RELIGxPOLPARTY,0.46051474114969737
head,15,6,Tmean,RELIGxPOLPARTY,0.45238163271554094
head,29,2,Tmean,RELIGxPOLPARTY,0.435235743224232
head,28,2,Tmean,RELIGxPOLPARTY,0.4347075606068779
head,7,31,Tmean,RELIGxPOLPARTY,0.4296356662492328
head,24,10,Tmean,RELIGxPOLPARTY,0.428916503993807
head,16,10,Tmean,RELIGxPOLPARTY,0.42690990572020465
head,8,11,Tmean,RELIGxPOLPARTY,0.4248578222198249
head,31,20,Tmean,RELIGxPOLPARTY,0.4201065112393703
head,7,9,Tmean,RELIGxPOLPARTY,0.4185744463412821
head,31,26,Tmean,RELIGxPOLPARTY,0.4175383605760576
head,19,19,Tmean,RELIGxPOLPARTY,0.4162201484976025
head,19,9,Tmean,RELIGxPOLPARTY,0.4141063975263034
head,15,17,Tmean,RELIGxPOLPARTY,0.41174956343474584
