component,layer,head,template,attr_type,rho
resid,3,-1,T0,RACExPOLPARTY,0.1382696972246884
resid,3,-1,T0,RACExRELIG,0.027471757282653872
resid,3,-1,T0,RELIGxPOLPARTY,0.21508236963024205
resid,3,-1,T1,AGExPOLPARTY,0.35314221382332833
resid,3,-1,T1,EDUCATIONxINCOME,0.4464927592754613
resid,3,-1,T1,RACExPOLIDEOLOGY,0.17658836060457403
resid,3,-1,T1,RACExPOLPARTY,0.13838069348966409
resid,3,-1,T1,RACExRELIG,0.03284316318434277
resid,3,-1,T1,RELIGxPOLPARTY,0.2044243130200004
resid,3,-1,T2,AGExPOLPARTY,0.24661272718295613
resid,3,-1,T2,EDUCATIONxINCOME,0.4378479790997425
resid,3,-1,T2,RACExPOLIDEOLOGY,0.05195562249056299
resid,3,-1,T2,RACExPOLPARTY,0.08149421383177083
resid,3,-1,T2,RACExRELIG,0.03880861622141992
resid,3,-1,T2,RELIGxPOLPARTY,0.06665328594170707
resid,3,-1,T3,AGExPOLPARTY,0.4091378178065484
resid,3,-1,T3,EDUCATIONxINCOME,0.4359946951245561
resid,3,-1,T3,RACExPOLIDEOLOGY,0.21429105583686964
resid,3,-1,T3,RACExPOLPARTY,0.1491701304251112
resid,3,-1,T3,RACExRELIG,0.029343144292893038
resid,3,-1,T3,RELIGxPOLPARTY,0.21506319093444443
resid,3,-1,Tmean,AGExPOLPARTY,0.36081178883036463
resid,3,-1,Tmean,EDUCATIONxINCOME,0.43700737588994776
resid,3,-1,Tmean,RACExPOLIDEOLOGY,0.20938157958311154
resid,3,-1,Tmean,RACExPOLPARTY,0.14112290121437415
resid,3,-1,Tmean,RACExRELIG,0.03218933010919258
resid,3,-1,Tmean,RELIGxPOLPARTY,0.21165602671965503
resid,4,-1,T0,AGExPOLPARTY,0.44422553710479407
resid,4,-1,T0,EDUCATIONxINCOME,0.45117919998382594
resid,4,-1,T0,RACExPOLIDEOLOGY,0.26588173432641826
resid,4,-1,T0,RACExPOLPARTY,0.15547021842714992
resid,4,-1,T0,RACExRELIG,0.033626780519137034
resid,4,-1,T0,RELIGxPOLPARTY,0.16115955255366018
