attr_type,resid_baseline,tmean_max_inflated,heldout_mean,heldout_min
AGExPOLPARTY,0.5142099902161822,0.735280715156876,0.5859870263895032,0.4017195394904373
EDUCATIONxINCOME,0.6105049489963553,0.6819367165012346,0.6288734541334499,0.6210431508638359
RACExPOLIDEOLOGY,0.3950178313911706,0.4956639227841781,0.4084126631854117,0.2802797950632664
RACExPOLPARTY,0.3404027709769654,0.6138043954820921,0.41193556997847514,0.3302170381966647
RACExRELIG,0.2663980743188726,0.4510788175406557,0.3233690066875732,0.2792832583972494
RELIGxPOLPARTY,0.2606086463194619,0.599656382437454,0.504110982495477,0.4076467663939983
