attr_type,obs_max,null_max_mean,null_max_p95,p_selection_corrected
AGExPOLPARTY,0.7352807151568761,0.24947042070416686,0.3884845804350448,0.0
EDUCATIONxINCOME,0.6819383469645501,0.209026000876211,0.3434969663599548,0.0
RACExPOLIDEOLOGY,0.5168607753884791,0.2595413179035687,0.393642356701531,0.0025
RACExPOLPARTY,0.6507681224322903,0.3065851364901965,0.4569599291263459,0.0
RACExRELIG,0.4864111823464705,0.32448036533739266,0.45835013722374696,0.0155
RELIGxPOLPARTY,0.5996563824374541,0.2542848599798524,0.3617972714695373,0.0
